service_id,date,exception_type
401,20240219,2
402,20240219,1
401,20240527,2
402,20240527,1
401,20240619,2
402,20240619,1
401,20240704,2
201WeekendS,20240704,1
401,20240705,2
201WeekendS,20240705,1
401,20240902,2
201WeekendS,20240902,1
401,20241014,2
201WeekendS,20241014,1
401,20241111,2
WeekdayS,20241111,1
401,20241127,2
WeekdayS,20241127,1
401,20241128,2
201WeekendS,20241128,1
401,20241129,2
201WeekendS,20241129,1
401,20241224,2
WeekdayS,20241224,1
230HS2024,20241224,1
401,20241225,2
201WeekendS,20241225,1
401,20241226,2
WeekdayS,20241226,1
230HS2024,20241226,1
401,20241227,2
WeekdayS,20241227,1
230HS2024,20241227,1
401,20241230,2
WeekdayS,20241230,1
230HS2024,20241230,1
401,20241231,2
WeekdayS,20241231,1
230HS2024,20241231,1
401,20250101,2
201WeekendS,20250101,1
401,20250106,2
401,20250107,2
WeekdayS,20250107,1
401,20250120,2
201WeekendS,20250120,1
401,20250206,2
WeekdayS,20250206,1
401,20250217,2
201WeekendS,20250217,1
Presday25,20250217,1
401,20250526,2
201WeekendS,20250526,1
401,20250619,2
201WeekendS,20250619,1
401,20250704,2
201WeekendS,20250704,1
