route_id,direction_id,direction
11694,0,EASTBOUND
11694,1,WESTBOUND
11695,0,SOUTHBOUND
11695,1,NORTHBOUND
11696,0,SOUTHBOUND
11696,1,NORTHBOUND
11697,0,NORTHBOUND
11697,1,SOUTHBOUND
11698,0,SOUTHBOUND
11698,1,NORTHBOUND
11699,0,WESTBOUND
11699,1,EASTBOUND
11700,0,WESTBOUND
11700,1,EASTBOUND
11701,0,WESTBOUND
11701,1,EASTBOUND
11702,0,WESTBOUND
11702,1,EASTBOUND
11703,0,WESTBOUND
11703,1,EASTBOUND
11707,0,SOUTHBOUND
11707,1,NORTHBOUND
11708,0,NORTHBOUND
11708,1,SOUTHBOUND
11709,0,SOUTHBOUND
11709,1,NORTHBOUND
11710,0,SOUTHBOUND
11710,1,NORTHBOUND
11711,0,SOUTHBOUND
11711,1,NORTHBOUND
11712,0,SOUTHBOUND
11712,1,NORTHBOUND
11713,0,SOUTHBOUND
11713,1,NORTHBOUND
11714,0,SOUTHBOUND
11714,1,NORTHBOUND
11715,0,SOUTHBOUND
11715,1,NORTHBOUND
11716,0,SOUTHBOUND
11716,1,NORTHBOUND
11717,0,SOUTHBOUND
11717,1,NORTHBOUND
11718,0,SOUTHBOUND
11718,1,NORTHBOUND
11719,0,NORTHBOUND
11719,1,SOUTHBOUND
11720,0,NORTHBOUND
11720,1,SOUTHBOUND
11721,0,NORTHBOUND
11721,1,SOUTHBOUND
11722,0,NORTHBOUND
11722,1,SOUTHBOUND
11723,0,NORTHBOUND
11723,1,SOUTHBOUND
11724,0,NORTHBOUND
11724,1,SOUTHBOUND
11725,0,NORTHBOUND
11725,1,SOUTHBOUND
11726,0,NORTHBOUND
11726,1,SOUTHBOUND
11727,0,NORTHBOUND
11727,1,SOUTHBOUND
11728,0,NORTHBOUND
11728,1,SOUTHBOUND
11729,0,NORTHBOUND
11729,1,SOUTHBOUND
11730,0,NORTHBOUND
11730,1,SOUTHBOUND
11731,0,NORTHBOUND
11731,1,SOUTHBOUND
11732,0,NORTHBOUND
11732,1,SOUTHBOUND
