trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
20101,04:00:00,04:00:00,12835,1,,0,1,0,0
20101,04:03:00,04:03:00,13603,2,,0,1,1.038,0
20101,04:11:00,04:11:00,11915,3,,0,1,9.57,0
20101,04:21:00,04:21:00,13590,4,,0,1,21.8266,0
20101,04:35:00,04:35:00,11785,5,,0,1,39.3942,0
20101,05:00:00,05:00:00,12461,6,,1,0,73.801,0
20101,05:05:00,05:05:00,3317,7,,1,0,76.8696,0
20101,05:06:00,05:06:00,11175,8,,1,0,77.4819,0
20101,05:18:00,05:18:00,2507,9,,1,0,89.1409,0
20101,05:38:00,05:38:00,32498,10,,1,0,93.6828,0
20102,06:00:00,06:00:00,12835,1,,0,1,0,0
20102,06:03:00,06:03:00,13603,2,,0,1,1.038,0
20102,06:11:00,06:11:00,11915,3,,0,1,9.57,0
20102,06:21:00,06:21:00,13590,4,,0,1,21.8266,0
20102,06:35:00,06:35:00,11785,5,,0,1,39.3942,0
20102,07:00:00,07:00:00,12461,6,,1,0,73.801,0
20102,07:05:00,07:05:00,3317,7,,1,0,76.8696,0
20102,07:06:00,07:06:00,11175,8,,1,0,78.4819,0
20102,07:18:00,07:18:00,2507,9,,1,0,90.1409,0
20103,08:00:00,08:00:00,12835,1,,0,1,0,0
20103,08:03:00,08:03:00,13603,2,,0,1,1.038,0
20103,08:11:00,08:11:00,11915,3,,0,1,9.57,0
20103,08:25:00,08:25:00,13590,4,,0,1,20.9829,0
20103,08:40:00,08:40:00,11785,5,,0,1,38.5505,0
20103,09:05:00,09:05:00,2507,6,,1,0,67.7874,0
20103,09:13:00,09:13:00,3317,7,,1,0,78.1497,0
20103,09:14:00,09:14:00,11175,8,,1,0,78.7619,0
20103,09:20:00,09:20:00,12461,9,,1,0,82.2304,0
20103,09:40:00,09:40:00,32498,10,,1,0,85.2304,0
20104,09:00:00,09:00:00,12835,1,,0,1,0,0
20104,09:03:00,09:03:00,13603,2,,0,1,1.038,0
20104,09:11:00,09:11:00,11915,3,,0,1,9.57,0
20104,09:25:00,09:25:00,13590,4,,0,1,20.9829,0
20104,09:40:00,09:40:00,11785,5,,0,1,38.5505,0
20104,10:05:00,10:05:00,2507,6,,1,0,67.7874,0
20104,10:13:00,10:13:00,3317,7,,1,0,78.1497,0
20104,10:14:00,10:14:00,11175,8,,1,0,78.7619,0
20104,10:20:00,10:20:00,12461,9,,1,0,82.2304,0
20105,10:00:00,10:00:00,12835,1,,0,1,0,0
20105,10:03:00,10:03:00,13603,2,,0,1,1.038,0
20105,10:11:00,10:11:00,11915,3,,0,1,9.57,0
20105,10:25:00,10:25:00,13590,4,,0,1,20.9829,0
20105,10:40:00,10:40:00,11785,5,,0,1,38.5505,0
20105,11:05:00,11:05:00,2507,6,,1,0,67.7874,0
20105,11:13:00,11:13:00,3317,7,,1,0,78.1497,0
20105,11:14:00,11:14:00,11175,8,,1,0,78.7619,0
20105,11:20:00,11:20:00,12461,9,,1,0,82.2304,0
20106,12:00:00,12:00:00,12835,1,,0,1,0,0
20106,12:03:00,12:03:00,13603,2,,0,1,1.038,0
20106,12:11:00,12:11:00,11915,3,,0,1,9.57,0
20106,12:25:00,12:25:00,13590,4,,0,1,20.9829,0
20106,12:40:00,12:40:00,11785,5,,0,1,38.5505,0
20106,13:05:00,13:05:00,2507,6,,1,0,67.7874,0
20106,13:13:00,13:13:00,3317,7,,1,0,78.1497,0
20106,13:14:00,13:14:00,11175,8,,1,0,78.7619,0
20106,13:20:00,13:20:00,12461,9,,1,0,82.2304,0
20106,13:40:00,13:40:00,32498,10,,1,0,85.2304,0
20107,14:00:00,14:00:00,12835,1,,0,1,0,0
20107,14:03:00,14:03:00,13603,2,,0,1,1.038,0
20107,14:11:00,14:11:00,11915,3,,0,1,9.57,0
20107,14:25:00,14:25:00,13590,4,,0,1,20.9623,0
20107,14:40:00,14:40:00,11785,5,,0,1,38.5299,0
20107,15:01:00,15:01:00,12008,6,,0,1,62.9116,0
20107,15:09:00,15:09:00,2507,7,,1,0,67.7668,0
20107,15:21:00,15:21:00,3317,8,,1,0,78.1291,0
20107,15:22:00,15:22:00,11175,9,,1,0,86.7414,0
20107,15:28:00,15:28:00,12461,10,,1,0,89.1409,0
20107,15:48:00,15:48:00,32498,11,,1,0,93.6828,0
20108,15:00:00,15:00:00,12835,1,,0,1,0,0
20108,15:03:00,15:03:00,13603,2,,0,1,1.038,0
20108,15:11:00,15:11:00,11915,3,,0,1,9.57,0
20108,15:25:00,15:25:00,13590,4,,0,1,20.9623,0
20108,15:40:00,15:40:00,11785,5,,0,1,38.5299,0
20108,16:01:00,16:01:00,12008,6,,0,1,62.9116,0
20108,16:09:00,16:09:00,2507,7,,1,0,67.7668,0
20108,16:21:00,16:21:00,3317,8,,1,0,78.1291,0
20108,16:22:00,16:22:00,11175,9,,1,0,78.7414,0
20108,16:28:00,16:28:00,12461,10,,1,0,82.2098,0
20109,16:00:00,16:00:00,12835,1,,0,1,0,0
20109,16:03:00,16:03:00,13603,2,,0,1,1.038,0
20109,16:11:00,16:11:00,11915,3,,0,1,9.57,0
20109,16:25:00,16:25:00,13590,4,,0,1,20.9623,0
20109,16:40:00,16:40:00,11785,5,,0,1,38.5299,0
20109,17:01:00,17:01:00,12008,6,,0,1,62.9116,0
20109,17:09:00,17:09:00,2507,7,,1,0,67.7668,0
20109,17:21:00,17:21:00,3317,8,,1,0,78.1291,0
20109,17:22:00,17:22:00,11175,9,,1,0,86.7414,0
20109,17:28:00,17:28:00,12461,10,,1,0,89.1409,0
20109,17:48:00,17:48:00,32498,11,,1,0,93.6828,0
20110,18:00:00,18:00:00,12835,1,,0,1,0,0
20110,18:03:00,18:03:00,13603,2,,0,1,1.038,0
20110,18:11:00,18:11:00,11915,3,,0,1,9.57,0
20110,18:25:00,18:25:00,13590,4,,0,1,20.9623,0
20110,18:40:00,18:40:00,11785,5,,0,1,38.5299,0
20110,19:01:00,19:01:00,12008,6,,0,1,62.9116,0
20110,19:09:00,19:09:00,2507,7,,1,0,67.7668,0
20110,19:21:00,19:21:00,3317,8,,1,0,78.1291,0
20110,19:22:00,19:22:00,11175,9,,1,0,86.7414,0
20110,19:28:00,19:28:00,12461,10,,1,0,89.1409,0
20110,19:48:00,19:48:00,32498,11,,1,0,93.6828,0
20111,05:40:00,05:40:00,32498,1,,0,1,0.0,0
20111,06:00:00,06:00:00,12461,2,,0,1,1.257,0
20111,06:05:00,06:05:00,3318,3,,0,1,3.582,0
20111,06:07:00,06:07:00,11179,4,,0,1,3.6512,0
20111,06:23:00,06:23:00,2507,5,,0,1,15.2842,0
20111,06:30:00,06:30:00,12025,6,,0,1,21.104,0
20111,06:51:00,06:51:00,11785,7,,0,1,44.0871,0
20111,07:08:00,07:08:00,13590,8,,1,0,62.5186,0
20111,07:16:00,07:16:00,11915,9,,1,0,83.6927,0
20111,07:25:00,07:25:00,13598,10,,1,0,86.8586,0
20111,07:28:00,07:28:00,12835,11,,1,0,90.89,0
20112,09:40:00,09:40:00,32498,1,,0,1,0.0,0
20112,10:00:00,10:00:00,12461,2,,0,1,1.257,0
20112,10:05:00,10:05:00,3318,3,,0,1,3.582,0
20112,10:07:00,10:07:00,11179,4,,0,1,3.6512,0
