trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
3891445,04:10:00,04:10:00,7640,1,,0,1,0.2253,1
3891445,04:12:00,04:12:00,7641,2,,0,0,0.4267,1
3891445,04:14:24,04:14:24,7642,3,,0,0,0.8584,0
3891445,04:17:00,04:17:00,7643,4,,0,0,1.2480,1
3891445,04:20:00,04:20:00,7644,5,,0,0,1.7448,1
3891445,04:23:00,04:23:00,7645,6,,0,0,2.4234,1
3891445,04:25:00,04:25:00,7646,7,,0,0,2.9595,1
3891445,04:26:00,04:26:00,7647,8,,1,0,3.3777,1
3891446,04:22:00,04:22:00,7648,1,,0,1,,1
3891446,04:23:00,04:23:00,7649,2,,1,1,0.5135,1
3891446,04:26:00,04:26:00,7650,3,,0,0,2.9396,1
3891446,04:28:00,04:28:00,7651,4,,0,0,4.4910,1
3891446,04:32:00,04:32:00,7652,5,,0,0,7.2379,1
3891446,04:33:00,04:33:00,7654,6,,0,0,8.3431,1
3891446,04:40:00,04:40:00,7655,7,,0,0,15.2067,1
3891446,04:42:00,04:42:00,7656,8,,0,0,15.7588,1
3891446,04:44:00,04:44:00,7657,9,,0,0,17.4973,1
3891446,04:49:00,04:49:00,7658,10,,0,0,21.2803,1
3891446,04:52:00,04:52:00,7659,11,,0,0,22.6513,1
3891446,04:54:00,04:54:00,7660,12,,0,0,23.6213,1
3891446,04:57:00,04:57:00,7661,13,,0,0,24.1935,1
3891446,04:59:00,04:59:00,7662,14,,1,0,24.8544,1
3891447,04:42:00,04:42:00,7648,1,,0,1,,1
3891447,04:43:00,04:43:00,7649,2,,1,1,0.5135,1
3891447,04:46:00,04:46:00,7650,3,,0,0,2.9396,1
3891447,04:48:00,04:48:00,7651,4,,0,0,4.4910,1
3891447,04:52:00,04:52:00,7652,5,,0,0,7.2379,1
3891447,04:53:00,04:53:00,7654,6,,0,0,8.3431,1
3891447,05:00:00,05:00:00,7655,7,,0,0,15.2067,1
3891447,05:02:00,05:02:00,7656,8,,0,0,15.7588,1
3891447,05:04:00,05:04:00,7657,9,,0,0,17.4973,1
3891447,05:09:00,05:09:00,7658,10,,0,0,21.2803,1
3891447,05:12:00,05:12:00,7659,11,,0,0,22.6513,1
3891447,05:14:00,05:14:00,7660,12,,0,0,23.6213,1
3891447,05:17:00,05:17:00,7661,13,,0,0,24.1935,1
3891447,05:19:00,05:19:00,7662,14,,1,0,24.8544,1
3891448,04:50:00,04:50:00,7640,1,,0,1,0.2253,1
3891448,04:52:00,04:52:00,7641,2,,0,0,0.4267,1
3891448,04:54:24,04:54:24,7642,3,,0,0,0.8584,0
3891448,04:57:00,04:57:00,7643,4,,0,0,1.2480,1
3891448,05:00:00,05:00:00,7644,5,,0,0,1.7448,1
3891448,05:03:00,05:03:00,7645,6,,0,0,2.4234,1
3891448,05:05:00,05:05:00,7646,7,,0,0,2.9595,1
3891448,05:06:00,05:06:00,7647,8,,1,0,3.3777,1
3891449,24:09:00,24:09:00,7640,1,,0,1,0.2253,1
3891449,24:11:00,24:11:00,7641,2,,0,0,0.4267,1
3891449,24:13:24,24:13:24,7642,3,,0,0,0.8584,0
3891449,24:16:00,24:16:00,7643,4,,0,0,1.2480,1
3891449,24:19:00,24:19:00,7644,5,,0,0,1.7448,1
3891449,24:22:00,24:22:00,7645,6,,0,0,2.4234,1
3891449,24:24:00,24:24:00,7646,7,,0,0,2.9595,1
3891449,24:26:00,24:26:00,7648,8,,1,0,3.3473,1
3891450,23:39:00,23:39:00,7640,1,,0,1,0.2253,1
3891450,23:41:00,23:41:00,7641,2,,0,0,0.4267,1
3891450,23:43:24,23:43:24,7642,3,,0,0,0.8584,0
3891450,23:46:00,23:46:00,7643,4,,0,0,1.2480,1
3891450,23:49:00,23:49:00,7644,5,,0,0,1.7448,1
3891450,23:52:00,23:52:00,7645,6,,0,0,2.4234,1
3891450,23:54:00,23:54:00,7646,7,,0,0,2.9595,1
3891450,23:56:00,23:56:00,7648,8,,1,0,3.3473,1
3891451,23:14:00,23:14:00,7640,1,,0,1,0.2253,1
3891451,23:16:00,23:16:00,7641,2,,0,0,0.4267,1
3891451,23:18:24,23:18:24,7642,3,,0,0,0.8584,0
3891451,23:21:00,23:21:00,7643,4,,0,0,1.2480,1
3891451,23:24:00,23:24:00,7644,5,,0,0,1.7448,1
3891451,23:27:00,23:27:00,7645,6,,0,0,2.4234,1
3891451,23:29:00,23:29:00,7646,7,,0,0,2.9595,1
3891451,23:30:00,23:30:00,7647,8,,1,0,3.3777,1
3891452,22:44:00,22:44:00,7640,1,,0,1,0.2253,1
3891452,22:46:00,22:46:00,7641,2,,0,0,0.4267,1
