stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id
7500,7500,OWINGS MILLS STATION (METRO),,39.40737188,-76.77988509,,,0,s0001,,0,L0
7522,7522,OLD COURT STATION (METRO) nb,,39.371586,-76.744827,,,0,s0002,,0,L0
10906,10906,OLD COURT STATION (METRO) sb,,39.370976,-76.743454,,,0,s0002,,0,L0
7520,7520,MILFORD MILL STATION (METRO) nb,,39.360239,-76.720787,,,0,s0003,,0,L1
11422,11422,MILFORD MILL STATION (METRO) sb,,39.359036,-76.720413,,,0,s0003,,0,L1
7519,7519,REISTERSTOWN PLAZA STATION (METRO) nb,,39.352283,-76.705383,,,0,s0004,,0,L2
4819,4819,REISTERSTOWN PLAZA STATION (METRO) sb,,39.351609,-76.704034,,,0,s0004,,0,L2
10420,10420,ROGERS AVE STATION (METRO) nb,,39.345171,-76.692547,,,0,s0005,,0,L2
10419,10419,ROGERS AVE STATION (METRO) sb,,39.344504,-76.691204,,,0,s0005,,0,L2
5584,5584,WEST COLD SPRING STATION (METRO),,39.336675,-76.673012,,,0,s0006,,0,L2
5585,5585,WEST COLD SPRING STATION (METRO),,39.335899,-76.671734,,,0,s0006,,0,L2
7517,7517,MONDAWMIN STATION (METRO) nb,,39.318323,-76.653595,,,0,s0007,,0,L4
7503,7503,MONDAWMIN STATION (METRO) sb,,39.318333,-76.653735,,,0,s0007,,0,L4
7516,7516,PENN NORTH STATION (METRO) nb,,39.310792,-76.643398,,,0,s0008,,0,L5
7504,7504,PENN NORTH STATION (METRO) sb,,39.309921,-76.642229,,,0,s0008,,0,L5
7515,7515,UPTON STATION (METRO) nb,,39.304754,-76.636118,,,0,s0009,,0,L4
7505,7505,UPTON STATION (METRO) sb,,39.304106,-76.634812,,,0,s0009,,0,L4
7514,7514,STATE CENTER (METRO) nb,,39.301157,-76.622734,,,0,s0010,,0,L4
7506,7506,STATE CENTER (METRO) sb,,39.300234,-76.621616,,,0,s0010,,0,L4
7513,7513,LEXINGTON MARKET (METRO) nb,,39.292228,-76.621099,,,0,s0011,,0,L5
7507,7507,LEXINGTON MARKET (METRO) sb,,39.290968,-76.620923,,,0,s0011,,0,L5
7512,7512,CHARLES CENTER (METRO) nb,,39.289456,-76.61476,,,0,s0012,,0,L5
7508,7508,CHARLES CENTER (METRO) sb,,39.289603,-76.613089,,,0,s0012,,0,L5
7509,7509,SHOT TOWER STATION (METRO) sb,,39.290029,-76.604697,,,0,s0013,,0,L4
7511,7511,SHOT TOWER STATION (METRO) nb,,39.289808,-76.60631,,,0,s0013,,0,L4
7510,7510,JOHNS HOPKINS STATION (METRO),,39.296583, -76.594166,,,0,s0014,,0,L5
s0001,s0001,OWINGS MILLS METRO,Station,39.4073509,-76.779895,,,1,,,1,L0
ome0001,ome0001,OWINGS MILLS METRO North Entrance,Parking C&D ent,39.4081468,-76.7801106,,,2,s0001,,1,L0
ome0002,ome0002,OWINGS MILLS METRO South Entrance,Garage parking ent,39.4071561,-76.7806846,,,2,s0001,,1,L0
omg0001,omg0001,OWINGS MILLS METRO Escalator 1,Access point (ES01),39.4072827838372,-76.7796307203461,,,3,s0001,,0,L0
omg0002,omg0002,OWINGS MILLS METRO Stair 1,Access point (ST01),39.4073112103458,-76.7796147397719,,,3,s0001,,0,L0
omg0003,omg0003,OWINGS MILLS METRO Escalator 2,Access point (ES02),39.4074029484697,-76.7800073403797,,,3,s0001,,0,L0
omg0004,omg0004,OWINGS MILLS METRO Stair 2,Access point (ST02),39.4074245361949,-76.7799963123665,,,3,s0001,,0,L0
omg0005,omg0005,OWINGS MILLS METRO Elevator 1,Access point (EL01),39.4073616,-76.7797995,,,3,s0001,,1,L0
omf0001,omf0001,OWINGS MILLS METRO Faregate,Faregate,39.4075031,-76.7802387,,,3,s0001,,1,L0
omp0001,omp0001,OWINGS MILLS METRO Platform,Boarding area,39.4073405,-76.7797873,,,3,s0001,,1,L1
s0002,s0002,OLD COURT METRO,Station,39.3712687,-76.7441504,,,1,,,1,L1
oce0001,oce0001,OLD COURT METRO Entrance,Main entrance,39.3723056,-76.7432698,,,2,s0002,,1,L0
ocg0001,ocg0001,OLD COURT METRO Escalator 1,Access point (ES01),39.3711672,-76.7438345,,,3,s0002,,0,L1
ocg0002,ocg0002,OLD COURT METRO Stair 1,Access point (ST01),39.371145908262,-76.7438501885213,,,3,s0002,,0,L1
ocg0003,ocg0003,OLD COURT METRO Escalator 2,Access point (ES02),39.3714188,-76.7444198,,,3,s0002,,0,L1
ocg0004,ocg0004,OLD COURT METRO Stair 2,Access point (ST02),39.3714468562183,-76.7444014573134,,,3,s0002,,0,L1
ocg0005,ocg0005,OLD COURT METRO Elevator 1,Access point (EL01),39.3713013,-76.74412,,,3,s0002,,1,L1
ocf0001,ocf0001,OLD COURT METRO Faregate,Faregate,39.3713305,-76.7441075,,,3,s0002,,1,L1
ocp0001,ocp0001,OLD COURT METRO Platform,Boarding area,39.3712498,-76.7440485,,,3,s0002,,1,L0
s0003,s0003,MILFORD MILL METRO,Station,39.3596928,-76.7206052,,,1,,,1,L0
mme0001,mme0001,MILFORD MILL METRO Entrance,Main entrance,39.35959758,-76.7208441,,,2,s0003,,1,L0
