route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11682,201,weekday_1,OWINGS MILLS STATION (METRO),,1,306,rpom,1,1
11682,201,weekday_2,JOHNS HOPKINS STATION (METRO),,0,306,omjh,1,1
11682,201,weekday_3,OWINGS MILLS STATION (METRO),,1,306,jhom,1,1
11682,201,weekday_4,JOHNS HOPKINS STATION (METRO),,0,306,omjh,1,1
11682,201,weekday_5,OWINGS MILLS STATION (METRO),,1,306,jhom,1,1
11682,201,weekday_6,JOHNS HOPKINS STATION (METRO),,0,306,omjh,1,1
11682,201,weekday_7,OWINGS MILLS STATION (METRO),,1,306,jhom,1,1
11682,201,weekday_8,JOHNS HOPKINS STATION (METRO),,0,306,omjh,1,1
11682,201,weekday_9,OWINGS MILLS STATION (METRO),,1,306,jhom,1,1
11682,201,weekday_10,JOHNS HOPKINS STATION (METRO),,0,306,omjh,1,1
11682,201,weekday_11,OWINGS MILLS STATION (METRO),,1,306,jhom,1,1
11682,201,weekday_12,JOHNS HOPKINS STATION (METRO),,0,306,omjh,1,1
11682,201,weekday_13,OWINGS MILLS STATION (METRO),,1,306,jhom,1,1
11682,201,weekday_14,JOHNS HOPKINS STATION (METRO),,0,306,omjh,1,1
11682,201,weekday_15,OWINGS MILLS STATION (METRO),,1,306,jhom,1,1
11682,201,weekday_16,JOHNS HOPKINS STATION (METRO),,0,306,omjh,1,1
11682,201,weekday_17,OWINGS MILLS STATION (METRO),,1,306,jhom,1,1
11682,201,weekday_18,JOHNS HOPKINS STATION (METRO),,0,306,omjh,1,1
11682,201,weekday_19,OWINGS MILLS STATION (METRO),,1,306,jhom,1,1
11682,201,weekday_20,JOHNS HOPKINS STATION (METRO),,0,306,omjh,1,1
11682,201,weekday_21,OWINGS MILLS STATION (METRO),,1,306,jhom,1,1
11682,201,weekday_22,JOHNS HOPKINS STATION (METRO),,0,306,omjh,1,1
11682,201,weekday_23,OWINGS MILLS STATION (METRO),,1,306,jhom,1,1
11682,201,weekday_24,JOHNS HOPKINS STATION (METRO),,0,306,omjh,1,1
11682,201,weekday_25,OWINGS MILLS STATION (METRO),,1,306,jhom,1,1
11682,201,weekday_26,JOHNS HOPKINS STATION (METRO),,0,306,omjh,1,1
11682,201,weekday_27,OWINGS MILLS STATION (METRO),,1,306,jhom,1,1
11682,201,weekday_28,JOHNS HOPKINS STATION (METRO),,0,306,omjh,1,1
11682,201,weekday_29,OWINGS MILLS STATION (METRO),,1,306,jhom,1,1
11682,201,weekday_30,JOHNS HOPKINS STATION (METRO),,0,306,omjh,1,1
11682,201,weekday_31,OWINGS MILLS STATION (METRO),,1,306,jhom,1,1
11682,201,weekday_32,OWINGS MILLS STATION (METRO),,1,304,rpom,1,1
11682,201,weekday_33,JOHNS HOPKINS STATION (METRO),,0,304,omjh,1,1
11682,201,weekday_34,OWINGS MILLS STATION (METRO),,1,304,jhom,1,1
11682,201,weekday_35,JOHNS HOPKINS STATION (METRO),,0,304,omjh,1,1
11682,201,weekday_36,OWINGS MILLS STATION (METRO),,1,304,jhom,1,1
11682,201,weekday_37,JOHNS HOPKINS STATION (METRO),,0,304,omjh,1,1
11682,201,weekday_38,OWINGS MILLS STATION (METRO),,1,304,jhom,1,1
11682,201,weekday_39,JOHNS HOPKINS STATION (METRO),,0,304,omjh,1,1
11682,201,weekday_40,OWINGS MILLS STATION (METRO),,1,304,jhom,1,1
11682,201,weekday_41,JOHNS HOPKINS STATION (METRO),,0,304,omjh,1,1
11682,201,weekday_42,OWINGS MILLS STATION (METRO),,1,304,jhom,1,1
11682,201,weekday_43,JOHNS HOPKINS STATION (METRO),,0,304,omjh,1,1
11682,201,weekday_44,OWINGS MILLS STATION (METRO),,1,304,jhom,1,1
11682,201,weekday_45,JOHNS HOPKINS STATION (METRO),,0,304,omjh,1,1
11682,201,weekday_46,OWINGS MILLS STATION (METRO),,1,304,jhom,1,1
11682,201,weekday_47,JOHNS HOPKINS STATION (METRO),,0,304,omjh,1,1
11682,201,weekday_48,OWINGS MILLS STATION (METRO),,1,304,jhom,1,1
11682,201,weekday_49,JOHNS HOPKINS STATION (METRO),,0,304,omjh,1,1
11682,201,weekday_50,OWINGS MILLS STATION (METRO),,1,304,jhom,1,1
11682,201,weekday_51,JOHNS HOPKINS STATION (METRO),,0,304,omjh,1,1
11682,201,weekday_52,OWINGS MILLS STATION (METRO),,1,304,jhom,1,1
11682,201,weekday_53,JOHNS HOPKINS STATION (METRO),,0,304,omjh,1,1
11682,201,weekday_54,OWINGS MILLS STATION (METRO),,1,304,jhom,1,1
11682,201,weekday_55,JOHNS HOPKINS STATION (METRO),,0,304,omjh,1,1
11682,201,weekday_56,OWINGS MILLS STATION (METRO),,1,304,jhom,1,1
11682,201,weekday_57,JOHNS HOPKINS STATION (METRO),,0,304,omjh,1,1
11682,201,weekday_58,OWINGS MILLS STATION (METRO),,1,304,jhom,1,1
11682,201,weekday_59,JOHNS HOPKINS STATION (METRO),,0,304,omjh,1,1
11682,201,weekday_60,OWINGS MILLS STATION (METRO),,1,304,jhom,1,1
11682,201,weekday_61,JOHNS HOPKINS STATION (METRO),,0,304,omjh,1,1
11682,201,weekday_62,OWINGS MILLS STATION (METRO),,1,304,jhom,1,1
11682,201,weekday_63,JOHNS HOPKINS STATION (METRO),,0,304,omjh,1,1
11682,201,weekday_64,OWINGS MILLS STATION (METRO),,1,304,jhom,1,1
11682,201,weekday_65,OWINGS MILLS STATION (METRO),,1,310,rpom,1,1
11682,201,weekday_66,JOHNS HOPKINS STATION (METRO),,0,310,omjh,1,1
11682,201,weekday_67,OWINGS MILLS STATION (METRO),,1,310,jhom,1,1
11682,201,weekday_68,JOHNS HOPKINS STATION (METRO),,0,310,omjh,1,1
11682,201,weekday_69,OWINGS MILLS STATION (METRO),,1,310,jhom,1,1
11682,201,weekday_70,JOHNS HOPKINS STATION (METRO),,0,310,omjh,1,1
11682,201,weekday_71,OWINGS MILLS STATION (METRO),,1,310,jhom,1,1
11682,201,weekday_72,JOHNS HOPKINS STATION (METRO),,0,310,omjh,1,1
11682,201,weekday_73,OWINGS MILLS STATION (METRO),,1,310,jhom,1,1
11682,201,weekday_74,JOHNS HOPKINS STATION (METRO),,0,310,omjh,1,1
